Number,Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Color,Generation,Gender Rate,Height,Weight,Shape,Form Order,Dex Entry,PokeApi Id,Ability 1,Ability 2,Hidden Ability,Title
167,Spinarak,,Bug,Poison,40,60,40,40,40,30,Green,2,4,0.5,8.5,Armor,0,"Although the poison from its fangs isn’t that
strong, it’s potent enough to weaken prey that
gets caught in its web.",167,Swarm,Insomnia,Sniper,String Spit Pokémon
168,Ariados,,Bug,Poison,70,90,70,60,70,40,Red,2,4,1.1,33.5,Armor,0,"It spews threads from its mouth to catch its
prey. When night falls, it leaves its web to go
hunt aggressively.",168,Swarm,Insomnia,Sniper,Long Leg Pokémon
169,Crobat,,Poison,Flying,85,90,80,70,80,130,Purple,2,4,1.8,75.0,Bug wings,0,"Its hind limbs have become another set of wings. Crobat
expertly maneuvers its four wings to dart in exquisite fashion
through even the most confined caves without losing any speed.",169,Inner Focus,,Infiltrator,Bat Pokémon
170,Chinchou,,Water,Electric,75,38,38,56,56,67,Blue,2,4,0.5,12.0,Fish,0,"On the dark ocean floor, its only means of
communication is its constantly flashing lights.",170,Volt Absorb,Illuminate,Water Absorb,Angler Pokémon
171,Lanturn,,Water,Electric,125,58,58,76,76,67,Blue,2,4,1.2,22.5,Fish,0,"This Pokémon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack.",171,Volt Absorb,Illuminate,Water Absorb,Light Pokémon
172,Pichu,,Electric,,20,40,15,35,35,60,Yellow,2,4,0.3,2.0,Quadruped,0,"Pichu stores electricity in the sacs on its cheeks but discharges it
inadvertently when agitated or excited. Being yet immature,
the Pokémon's handling of electricity is rather inept.",172,Static,,Lightning Rod,Tiny Mouse Pokémon
173,Cleffa,,Fairy,,50,25,28,45,55,15,Pink,2,6,0.3,3.0,Upright,0,"In silhouette, they resemble twinkling starlight. When shooting
stars rain from the night sky, Cleffa gather in numbers and dance
as though they are indeed incarnations of the stars.",173,Cute Charm,Magic Guard,Friend Guard,Star Shape Pokémon
174,Igglybuff,,Normal,Fairy,90,30,15,40,20,15,Pink,2,6,0.3,1.0,Humanoid,0,"Taking advantage of the softness of its body,
Igglybuff moves as if bouncing. Its body turns a
deep pink when its temperature rises.",174,Cute Charm,Competitive,Friend Guard,Balloon Pokémon
175,Togepi,,Fairy,,35,20,65,40,65,20,White,2,1,0.3,1.5,Humanoid,0,"This ovate creature is frequently mistaken for a moving egg
when encountered out in the fields or in the mountains.
Its guileless smile soothes the soul.",175,Hustle,Serene Grace,Super Luck,Spike Ball Pokémon
176,Togetic,,Fairy,Flying,55,40,85,80,105,40,White,2,1,0.6,3.2,Humanoid,0,"No records exist of Togetic being seen in the wilds. Rumors
abound that it evolves under the loving care of a trusted human
companion, upon whom the Pokémon then bestows great joy.",176,Hustle,Serene Grace,Super Luck,Happiness Pokémon
177,Natu,,Psychic,Flying,40,50,45,70,45,70,Green,2,4,0.2,2.0,Wings,0,"Because its wings aren’t yet fully grown, it has to
hop to get around. It is always staring
at something.",177,Synchronize,Early Bird,Magic Bounce,Tiny Bird Pokémon
178,Xatu,,Psychic,Flying,65,75,70,95,70,95,Green,2,4,1.5,15.0,Wings,0,"This odd Pokémon can see both the past and
the future. It eyes the sun’s movement all day.",178,Synchronize,Early Bird,Magic Bounce,Mystic Pokémon
179,Mareep,,Electric,,55,40,40,65,45,35,White,2,4,0.6,7.8,Quadruped,0,"Rubbing its fleece generates electricity.
You’ll want to pet it because it’s cute, but if you
use your bare hand, you’ll get a painful shock.",179,Static,,Plus,Wool Pokémon
180,Flaaffy,,Electric,,70,55,55,80,60,45,Pink,2,4,0.8,13.3,Upright,0,"It stores electricity in its fluffy fleece. If it
stores up too much, it will start to go bald in
those patches.",180,Static,,Plus,Wool Pokémon
181,Ampharos,,Electric,,90,75,85,115,90,55,Yellow,2,4,1.4,61.5,Upright,0,"Its tail shines bright and strong. It has been
prized since long ago as a beacon for sailors.",181,Static,,Plus,Light Pokémon
181,Ampharos,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,Yellow,6,4,1.4,61.5,Upright,1,"Massive amounts of energy intensely stimulated Ampharos's cells, apparently awakening its long-sleeping dragon's blood.",10045,Mold Breaker,,,Light Pokémon
182,Bellossom,,Grass,,75,80,95,90,100,50,Green,2,4,0.4,5.8,Humanoid,0,"Bellossom gather at times and appear to dance.
They say that the dance is a ritual to summon
the sun.",182,Chlorophyll,,Healer,Flower Pokémon
183,Marill,,Water,Fairy,70,20,50,20,50,40,Blue,2,4,0.4,8.5,Upright,0,"Even after Marill swims in a cold sea, its water-
repellent fur dries almost as soon as Marill leaves
the water. That’s why this Pokémon is never cold.",183,Thick Fat,Huge Power,Sap Sipper,Aqua Mouse Pokémon
184,Azumarill,,Water,Fairy,100,50,80,60,80,50,Blue,2,4,0.8,28.5,Upright,0,"These Pokémon create air-filled bubbles. When
Azurill play in rivers, Azumarill will cover them
with these bubbles.",184,Thick Fat,Huge Power,Sap Sipper,Aqua Rabbit Pokémon
185,Sudowoodo,,Rock,,70,100,115,30,65,30,Brown,2,4,1.2,38.0,Humanoid,0,"Though it pretends to be a tree, it fails to fool even children.
To the touch, its body feels more like rock than tree bark.
Sudowoodo's extreme aversion to water merits special note.",185,Sturdy,Rock Head,Rattled,Imitation Pokémon
186,Politoed,,Water,,90,75,75,90,100,70,Green,2,4,1.1,33.9,Humanoid,0,"The cry of a male is louder than that of a female.
Male Politoed with deep, menacing voices find
more popularity with the opposite gender.",186,Water Absorb,Damp,Drizzle,Frog Pokémon
187,Hoppip,,Grass,Flying,35,35,40,35,55,50,Pink,2,4,0.4,0.5,Upright,0,"This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away.",187,Chlorophyll,Leaf Guard,Infiltrator,Cottonweed Pokémon
188,Skiploom,,Grass,Flying,55,45,50,45,65,80,Green,2,4,0.6,1.0,Upright,0,"Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer.",188,Chlorophyll,Leaf Guard,Infiltrator,Cottonweed Pokémon
189,Jumpluff,,Grass,Flying,75,55,70,55,95,110,Blue,2,4,0.8,3.0,Upright,0,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating.",189,Chlorophyll,Leaf Guard,Infiltrator,Cottonweed Pokémon
190,Aipom,,Normal,,55,70,55,40,55,85,Purple,2,4,0.8,11.5,Upright,0,"This treetop dweller possesses a tail as dexterous as a hand.
Ancient writings describe this Pokémon as a one-armed oddity.",190,Run Away,Pickup,Skill Link,Long Tail Pokémon
191,Sunkern,,Grass,,30,30,30,30,30,30,Yellow,2,4,0.3,1.8,Ball,0,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew.",191,Chlorophyll,Solar Power,Early Bird,Seed Pokémon
192,Sunflora,,Grass,,75,75,55,105,85,30,Yellow,2,4,0.8,8.5,Humanoid,0,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night.",192,Chlorophyll,Solar Power,Early Bird,Sun Pokémon
193,Yanma,,Bug,Flying,65,65,45,75,45,95,Red,2,4,1.2,38.0,Bug wings,0,"Its frail wings are so thin that one can see clear through them.
However, during flight these wings exhibit the power to churn
air with force enough to launch a house skyward.",193,Speed Boost,Compound Eyes,Frisk,Clear Wing Pokémon
194,Wooper,,Water,Ground,55,45,45,25,25,15,Blue,2,4,0.4,8.5,Legs,0,"When walking on land, it covers its body with a
poisonous film that keeps its skin from dehydrating.",194,Damp,Water Absorb,Unaware,Water Fish Pokémon
194,Wooper,Paldean Wooper,Poison,Ground,55,45,45,25,25,15,Brown,9,4,0.4,11.0,Legs,1,"After losing a territorial struggle, Wooper began living on land. The Pokémon changed over time, developing a poisonous film to protect its body.",10253,Poison Point,Water Absorb,Unaware,Poison Fish Pokémon
195,Quagsire,,Water,Ground,95,85,85,65,65,35,Blue,2,4,1.4,75.0,Upright,0,"Its body is always slimy. It often bangs its head
on the river bottom as it swims but seems not
to care.",195,Damp,Water Absorb,Unaware,Water Fish Pokémon
196,Espeon,,Psychic,,65,65,60,130,95,110,Purple,2,1,0.9,26.5,Quadruped,0,"Wields an arcane power with which it can predict the weather
and even people's thoughts. When bathed in sunshine, the
scarlet orb on its brow glows and builds energy.",196,Synchronize,,Magic Bounce,Sun Pokémon
197,Umbreon,,Dark,,95,65,110,60,130,65,Black,2,1,1.0,27.0,Quadruped,0,"It is most active in the wee hours of the night, when moonlight
bathes the land. Its large eyes can pierce the darkness and
perceive prey with absolute clarity.",197,Synchronize,,Inner Focus,Moonlight Pokémon
198,Murkrow,,Dark,Flying,60,85,42,85,42,91,Black,2,4,0.5,2.1,Wings,0,"Widely shunned as a bearer of ill fortune. Upon crossing paths
with this creature, I've been told one must chant ”Workrum,
Workrum—bad luck, don't come” as a protective incantation.",198,Insomnia,Super Luck,Prankster,Darkness Pokémon
199,Slowking,,Water,Psychic,95,75,80,100,110,30,Pink,2,4,2.0,79.5,Upright,0,"Slowking can solve any problem presented to it,
but no one can understand a thing Slowking says.",199,Oblivious,Own Tempo,Regenerator,Royal Pokémon
199,Slowking,Galarian Slowking,Poison,Psychic,95,65,80,110,110,30,Pink,8,4,1.8,79.5,Upright,1,It creates potions by mixing toxins with the food it’s eaten. Not even Slowking itself knows what effects the potions will have.,10172,Curious Medicine,Own Tempo,Regenerator,Hexpert Pokémon
200,Misdreavus,,Ghost,,60,60,60,85,85,85,Gray,2,4,0.7,1.0,Ball,0,"It conceals itself in darkness, sending chills up travelers' spines
with its childlike weeping. As it observes the frightened travelers
with glee, the red orbs upon its chest let off an eerie light.",200,Levitate,,,Screech Pokémon
201,Unown,,Psychic,,48,72,48,72,48,48,Black,2,-1,0.5,5.0,Ball,0,"It is hard to believe these strangely shaped Pokémon are truly
living creatures. I've pointed out that the species' many forms
resemble writing from other lands; no one will take me seriously.",201,Levitate,,,Symbol Pokémon
202,Wobbuffet,,Psychic,,190,33,58,33,58,33,Blue,2,4,1.3,28.5,Blob,0,"To keep its pitch-black tail hidden, it lives quietly
in the darkness. It is never first to attack.",202,Shadow Tag,,Telepathy,Patient Pokémon
203,Girafarig,,Normal,Psychic,70,80,65,90,65,85,Yellow,2,4,1.5,41.5,Quadruped,0,"Girafarig’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day.",203,Inner Focus,Early Bird,Sap Sipper,Long Neck Pokémon
204,Pineco,,Bug,,50,65,90,35,35,15,Gray,2,4,0.6,7.2,Ball,0,"It sticks tree bark to itself with its saliva,
making itself thicker and larger. Elderly Pineco
are ridiculously huge.",204,Sturdy,,Overcoat,Bagworm Pokémon
205,Forretress,,Bug,Steel,75,90,140,60,60,40,Purple,2,4,1.2,125.8,Ball,0,"In the moment that it gulps down its prey, the
inside of its shell is exposed, but to this day,
no one has ever seen that sight.",205,Sturdy,,Overcoat,Bagworm Pokémon
206,Dunsparce,,Normal,,100,70,70,65,65,45,Yellow,2,4,1.5,14.0,Squiggle,0,"The nests Dunsparce live in are mazes of tunnels.
They never get lost in their own nests—they can
tell where they are by the scent of the dirt.",206,Serene Grace,Run Away,Rattled,Land Snake Pokémon
207,Gligar,,Ground,Flying,65,75,105,35,65,85,Purple,2,4,1.1,64.8,Wings,0,"Its tail is tipped by a thick, horrible stinger. To bring down prey,
it will first obscure their vision by covering their faces with its
body, and then it will use the stinger to inject them with venom.",207,Hyper Cutter,Sand Veil,Immunity,Fly Scorpion Pokémon
208,Steelix,,Steel,Ground,75,85,200,55,65,30,Gray,2,4,9.2,400.0,Squiggle,0,"This Pokémon evolved through use of a strange item. Its body is
coated with steel powder and notably hard—not even diamond
can leave so much as a scratch.",208,Rock Head,Sturdy,Sheer Force,Iron Snake Pokémon
208,Steelix,Mega Steelix,Steel,Ground,75,125,230,55,95,30,Gray,6,4,10.5,740.0,Squiggle,1,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth's core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,10174,Sand Force,,,Iron Snake Pokémon
209,Snubbull,,Fairy,,60,80,50,40,40,30,Pink,2,6,0.6,7.8,Humanoid,0,"In contrast to its appearance, it’s quite
timid. When playing with other puppy
Pokémon, it sometimes gets bullied.",209,Intimidate,Run Away,Rattled,Fairy Pokémon
210,Granbull,,Fairy,,90,120,75,60,60,45,Purple,2,6,1.4,48.7,Upright,0,"Although it’s popular with young people,
Granbull is timid and sensitive, so it’s totally
incompetent as a watchdog.",210,Intimidate,Quick Feet,Rattled,Fairy Pokémon
211,Qwilfish,,Water,Poison,65,95,85,55,55,85,Gray,2,4,0.5,3.9,Fish,0,Experienced fishers say they try to catch Qwilfish in the brief moment that these Pokémon become defenseless just after launching poisonous spikes.,211,Poison Point,Swift Swim,Intimidate,Balloon Pokémon
211,Qwilfish,Hisuian Qwilfish,Dark,Poison,65,95,85,55,55,85,Black,8,4,0.5,3.9,Fish,1,It absorbs toxins from the food it eats. The distinct purple spikes on its body are evidence of its potent poison.,10234,Poison Point,Swift Swim,Intimidate,Balloon Pokémon
212,Scizor,,Bug,Steel,70,130,100,55,80,65,Red,2,4,1.8,118.0,Bug wings,0,"This Pokémon’s pincers, which contain steel, can crush any hard object they get ahold of into bits.",212,Swarm,Technician,Light Metal,Pincer Pokémon
212,Scizor,Mega Scizor,Bug,Steel,70,150,140,65,100,75,Red,6,4,2.0,125.0,Bug wings,1,"It's better at beating things than grasping them. When it battles for a long time, the weight of its pincers becomes too much to bear.",10046,Technician,,,Pincer Pokémon
213,Shuckle,,Bug,Rock,20,10,230,10,230,5,Yellow,2,4,0.6,20.5,Armor,0,"The berries stored in its vaselike shell eventually
become a thick, pulpy juice.",213,Sturdy,Gluttony,Contrary,Mold Pokémon
214,Heracross,,Bug,Fighting,80,125,75,40,95,85,Blue,2,4,1.5,54.0,Humanoid,0,"This Pokémon has an unparalleled horn. Heracross itself
demonstrates tremendous power—it's capable of throwing
several people trained in the traditional arts of war at once.",214,Swarm,Guts,Moxie,Single Horn Pokémon
214,Heracross,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,Blue,6,4,1.7,62.5,Humanoid,1,"A tremendous influx of energy builds it up, but when Mega Evolution ends, Heracross is bothered by terrible soreness in its muscles.",10047,Skill Link,,,Single Horn Pokémon
215,Sneasel,,Dark,Ice,55,95,55,35,75,115,Black,2,4,0.9,28.0,Upright,0,This is a smart and sneaky Pokémon. A pair may work together to steal eggs by having one lure the parents away.,215,Inner Focus,Keen Eye,Pickpocket,Sharp Claw Pokémon
215,Sneasel,Hisuian Sneasel,Fighting,Poison,55,95,55,35,75,115,Gray,8,4,0.9,27.0,Upright,1,"Its sturdy, curved claws are ideal for traversing precipitous cliffs.
From the tips of these claws drips a venom that infiltrates the
nerves of any prey caught in Sneasel's grasp.",10235,Inner Focus,Keen Eye,Pickpocket,Sharp Claw Pokémon
216,Teddiursa,,Normal,,60,80,50,50,50,40,Brown,2,4,0.6,8.8,Upright,0,"It licks its paws because of the sweet honey that has soaked into
them. It is cunning, stealing into the nests of Combee and taking
for itself the honey that the Combee have amassed.",216,Pickup,Quick Feet,Honey Gather,Little Bear Pokémon
217,Ursaring,,Normal,,90,130,75,75,75,55,Brown,2,4,1.8,125.8,Upright,0,"When the cold season arrives in Hisui, this Pokémon will wander
fields and mountains alike in search of its favorite berries.
Ursaring's hunger during this time makes it a ferocious danger.",217,Guts,Quick Feet,Unnerve,Hibernator Pokémon
218,Slugma,,Fire,,40,40,40,70,40,20,Red,2,4,0.7,35.0,Squiggle,0,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs.",218,Magma Armor,Flame Body,Weak Armor,Lava Pokémon
219,Magcargo,,Fire,Rock,60,50,120,90,80,30,Red,2,4,0.8,55.0,Squiggle,0,"Magcargo’s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokémon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog.",219,Magma Armor,Flame Body,Weak Armor,Lava Pokémon
220,Swinub,,Ice,Ground,50,50,40,30,30,50,Brown,2,4,0.4,6.5,Quadruped,0,"Swinub excels at sniffing out mushrooms buried beneath grass or
snow. Since ancient times, the people of Hisui have often relied
upon this skill.",220,Oblivious,Snow Cloak,Thick Fat,Pig Pokémon
221,Piloswine,,Ice,Ground,100,100,80,60,60,50,Brown,2,4,1.1,55.8,Quadruped,0,"The long fur of this Pokémon covers its eyes, ears, and even
limbs, allowing Piloswine to resist harshly frigid conditions.
The Pokémon's white tusks can be used to defeat its enemies.",221,Oblivious,Snow Cloak,Thick Fat,Swine Pokémon
222,Corsola,,Water,Rock,65,55,95,65,95,35,Pink,2,6,0.6,5.0,Armor,0,"These Pokémon live in warm seas.
In prehistoric times, many lived in the
oceans around the Galar region as well.",222,Hustle,Natural Cure,Regenerator,Coral Pokémon
222,Corsola,Galarian Corsola,Ghost,,60,55,100,65,100,30,White,8,6,0.6,0.5,Armor,1,Sudden climate change wiped out this ancient kind of Corsola. This Pokémon absorbs others' life-force through its branches.,10173,Weak Armor,,Cursed Body,Coral Pokémon
223,Remoraid,,Water,,35,65,35,65,35,65,Gray,2,4,0.6,12.0,Fish,0,"Spits water from its mouth with incredible accuracy. It captures
Burmy by shooting them down off the branches from which
they dangle.",223,Hustle,Sniper,Moody,Jet Pokémon
224,Octillery,,Water,,75,105,75,105,75,45,Red,2,4,0.9,28.5,Tentacles,0,"While Octillery still shoots water from its mouth, the drastic
anatomical difference between it and Remoraid meant that for
a long time, no one believed the former evolved from the latter.",224,Suction Cups,Sniper,Moody,Jet Pokémon
225,Delibird,,Ice,Flying,45,55,45,65,45,75,Red,2,4,0.9,16.0,Wings,0,"It has a generous habit of sharing its food with
people and Pokémon, so it’s always scrounging
around for more food.",225,Vital Spirit,Hustle,Insomnia,Delivery Pokémon
226,Mantine,,Water,Flying,85,40,70,80,140,70,Purple,2,4,2.1,220.0,Wings,0,"This calm and gentle Pokémon swims gracefully through the sea.
After building speed, it can leap out of the water. It is often
misidentified as a bird Pokémon due to this behavior.",226,Swift Swim,Water Absorb,Water Veil,Kite Pokémon
227,Skarmory,,Steel,Flying,65,80,140,40,70,70,Gray,2,4,1.7,50.5,Wings,0,"People fashion swords from Skarmory’s shed
feathers, so this Pokémon is a popular element
in heraldic designs.",227,Keen Eye,Sturdy,Weak Armor,Armor Bird Pokémon
228,Houndour,,Dark,Fire,45,60,30,80,50,65,Black,2,4,0.6,10.8,Quadruped,0,"They make repeated eerie howls before dawn
to call attention to their pack.",228,Early Bird,Flash Fire,Unnerve,Dark Pokémon
229,Houndoom,,Dark,Fire,75,90,50,110,80,95,Black,2,4,1.4,35.0,Quadruped,0,"Identifiable by its eerie howls, people a long
time ago thought it was the grim reaper and
feared it.",229,Early Bird,Flash Fire,Unnerve,Dark Pokémon
229,Houndoom,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,Black,6,4,1.9,49.5,Quadruped,1,Houndoom's entire body generates heat when it Mega Evolves. Its fearsome fiery breath turns its opponents to ash.,10048,Solar Power,,,Dark Pokémon
230,Kingdra,,Water,Dragon,75,95,95,95,95,85,Blue,2,4,1.8,152.0,Blob,0,"Scales shed by this Pokémon have such a
splendorous gleam to them that they’ve been
given to royalty as gifts.",230,Swift Swim,Sniper,Damp,Dragon Pokémon
231,Phanpy,,Ground,,90,60,60,40,40,40,Blue,2,4,0.5,33.5,Quadruped,0,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water.",231,Pickup,,Sand Veil,Long Nose Pokémon
232,Donphan,,Ground,,90,120,120,60,60,50,Gray,2,4,1.1,120.0,Quadruped,0,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails.",232,Sturdy,,Sand Veil,Armor Pokémon
233,Porygon2,,Normal,,85,80,90,105,95,60,Red,2,-1,0.6,32.5,Legs,0,"A bizarre item caused this Pokémon to evolve. While it now
exhibits many new gestures and expressions, its biology
remains inscrutable.",233,Trace,Download,Analytic,Virtual Pokémon
234,Stantler,,Normal,,73,95,62,85,65,85,Brown,2,4,1.4,71.2,Quadruped,0,"Its strangely shaped antlers have the power to bewitch those
who see them. Medicine made by grinding up the black orbs
from fallen antlers is an effective treatment for insomnia.",234,Intimidate,Frisk,Sap Sipper,Big Horn Pokémon
235,Smeargle,,Normal,,55,20,35,20,45,75,White,2,4,1.2,58.0,Upright,0,"It draws symbols with the fluid that oozes from
the tip of its tail. Depending on the symbol,
Smeargle fanatics will pay big money for them.",235,Own Tempo,Technician,Moody,Painter Pokémon
236,Tyrogue,,Fighting,,35,35,35,35,35,35,Purple,2,0,0.7,21.0,Humanoid,0,"Even though it is small, it can’t be ignored because
it will slug any handy target without warning.",236,Guts,Steadfast,Vital Spirit,Scuffle Pokémon
237,Hitmontop,,Fighting,,50,95,95,35,110,70,Brown,2,0,1.4,48.0,Upright,0,"After doing a handstand to throw off the
opponent’s timing, it presents its fancy kick moves.",237,Intimidate,Technician,Steadfast,Handstand Pokémon
238,Smoochum,,Ice,Psychic,45,30,15,85,65,65,Pink,2,8,0.4,6.0,Humanoid,0,"This is a very curious Pokémon. Smoochum
decides what it likes and dislikes by touching
things with its lips.",238,Oblivious,Forewarn,Hydration,Kiss Pokémon
239,Elekid,,Electric,,45,63,37,65,55,95,Yellow,2,2,0.6,23.5,Humanoid,0,"They generate electricity by spinning their arms. During a
thunderstorm, if one hears the lively voices of children out in the
wilderness, what one is actually hearing are the voices of Elekid.",239,Static,,Vital Spirit,Electric Pokémon
240,Magby,,Fire,,45,75,37,70,55,83,Red,2,2,0.7,21.4,Upright,0,"This Pokémon lives in volcanic areas. With each breath, sparks
spurt from its mouth and nose. When Magby is in good health,
its flames gain a yellow tint.",240,Flame Body,,Vital Spirit,Live Coal Pokémon
241,Miltank,,Normal,,95,80,105,40,70,100,Pink,2,8,1.2,75.5,Upright,0,"This Pokémon needs to be milked every day,
or else it will fall ill. The flavor of Miltank milk
changes with the seasons.",241,Thick Fat,Scrappy,Sap Sipper,Milk Cow Pokémon
242,Blissey,,Normal,,255,10,10,75,135,55,Pink,2,8,1.5,46.8,Humanoid,0,"A kindhearted Pokémon that will care for any sick person or
Pokémon until their health improves. The eggs it lays are
delicious and bring good fortune to those who eat them.",242,Natural Cure,Serene Grace,Healer,Happiness Pokémon
243,Raikou,,Electric,,90,85,75,115,100,115,Yellow,2,-1,1.9,178.0,Quadruped,0,"Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down.",243,Pressure,,Inner Focus,Thunder Pokémon
244,Entei,,Fire,,115,115,85,90,75,100,Brown,2,-1,2.1,198.0,Quadruped,0,"Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch.",244,Pressure,,Inner Focus,Volcano Pokémon
245,Suicune,,Water,,100,75,115,90,115,85,Blue,2,-1,2.0,187.0,Quadruped,0,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water.",245,Pressure,,Inner Focus,Aurora Pokémon
246,Larvitar,,Rock,Ground,50,64,50,45,50,41,Green,2,4,0.6,72.0,Upright,0,"It feeds on soil. After it has eaten a large
mountain, it will fall asleep so it can grow.",246,Guts,,Sand Veil,Rock Skin Pokémon
247,Pupitar,,Rock,Ground,70,84,70,65,70,51,Gray,2,4,1.2,152.0,Squiggle,0,"It will not stay still, even while it’s a pupa.
It already has arms and legs under its solid shell.",247,Shed Skin,,,Hard Shell Pokémon
248,Tyranitar,,Rock,Dark,100,134,110,95,100,61,Green,2,4,2.0,202.0,Upright,0,"The quakes caused when it walks make even
great mountains crumble and change
the surrounding terrain.",248,Sand Stream,,Unnerve,Armor Pokémon
248,Tyranitar,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,Green,6,4,2.5,255.0,Upright,1,"Due to the colossal power poured into it, this Pokémon's back split right open. Its destructive instincts are the only thing keeping it moving.",10049,Sand Stream,,,Armor Pokémon
249,Lugia,,Psychic,Flying,106,90,130,90,154,110,White,2,-1,5.2,216.0,Wings,0,"Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea.",249,Pressure,,Multiscale,Diving Pokémon
250,Ho-oh,,Fire,Flying,106,130,90,110,154,90,Red,2,-1,3.8,199.0,Wings,0,"Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow.",250,Pressure,,Regenerator,Rainbow Pokémon
251,Celebi,,Psychic,Grass,100,100,100,100,100,100,Green,2,-1,0.6,5.0,Humanoid,0,"This Pokémon traveled through time to come
from the future. It bolsters grass and trees with
its own strength, and it can heal wounds, too.",251,Natural Cure,,,Time Travel Pokémon
252,Treecko,,Grass,,40,45,35,65,55,70,Green,3,1,0.5,5.0,Upright,0,"Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground.",252,Overgrow,,Unburden,Wood Gecko Pokémon
253,Grovyle,,Grass,,50,65,45,85,65,95,Green,3,1,0.9,21.6,Upright,0,"This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be.",253,Overgrow,,Unburden,Wood Gecko Pokémon
254,Sceptile,,Grass,,70,85,65,105,85,120,Green,3,1,1.7,52.2,Upright,0,The leaves growing on Sceptile's body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.,254,Overgrow,,Unburden,Forest Pokémon
254,Sceptile,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,Green,6,1,1.9,55.2,Upright,1,Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.,10065,Lightning Rod,,,Forest Pokémon
255,Torchic,,Fire,,45,60,40,70,50,45,Red,3,1,0.4,2.5,Legs,0,"Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down.",255,Blaze,,Speed Boost,Chick Pokémon
256,Combusken,,Fire,Fighting,60,85,60,85,60,55,Red,3,1,0.9,19.5,Upright,0,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting.",256,Blaze,,Speed Boost,Young Fowl Pokémon
257,Blaziken,,Fire,Fighting,80,120,70,110,70,80,Red,3,1,1.9,52.0,Upright,0,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon's wrists burn.",257,Blaze,,Speed Boost,Blaze Pokémon
257,Blaziken,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,Red,6,1,1.9,52.0,Upright,1,"Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened.",10050,Speed Boost,,,Blaze Pokémon
258,Mudkip,,Water,,50,70,50,50,50,40,Blue,3,1,0.4,7.6,Quadruped,0,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself.",258,Torrent,,Damp,Mud Fish Pokémon
